ComponentName,FaultProbability
org.apache.commons.math3.linear.AbstractRealMatrix:copySubMatrix,0.04
org.apache.commons.math3.ode.ParameterConfiguration:getParameterName,0.309
org.apache.commons.math3.random.EmpiricalDistributionTest:testGetBinUpperBounds,0.03
org.apache.commons.math3.analysis.function.Asinh:derivative,0.13
org.apache.commons.math3.linear.RealVector:combineToSelf,0.309
org.apache.commons.math3.stat.regression.MultipleLinearRegressionAbstractTest:testNewSampleInvalidData,0.095
org.apache.commons.math.complex.ComplexTest:testAtanNaN,0
org.apache.commons.math.ode.sampling.DummyStepInterpolatorTest:computeInterpolatedState,0
org.apache.commons.math3.linear.ArrayFieldVectorTest:testMisc,0.25
org.apache.commons.math3.linear.RealVectorAbstractTest:testMapAddToSelf,0.038
org.apache.commons.math.linear.EigenDecompositionImpl:getEigenvalues,0
org.apache.commons.math.estimation.LevenbergMarquardtEstimator:qTy,0
org.apache.commons.math.linear.SparseRealVectorTest:mapDivideToSelf,0
org.apache.commons.math.linear.QRDecompositionImpl:getQT,0
org.apache.commons.math3.transform.FastFourierTransformer:getDimensionSizes,0.309
org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatisticsTest:suite,0
org.apache.commons.math3.distribution.BetaDistributionTest:testDensity,0.27
org.apache.commons.math.linear.EigenDecompositionImpl:computeShiftIncrement,0.01
org.apache.commons.math.linear.SparseRealVectorTest:ebeMultiply,0
org.apache.commons.math.analysis.RiddersSolver:<init>,0
org.apache.commons.math.analysis.interpolation.UnivariateRealPeriodicInterpolatorTest:testTooFewSamples,0
org.apache.commons.math3.random.EmpiricalDistribution:ArrayDataAdapter,0.065
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest:testIllConditioned,0
org.apache.commons.math3.ode.nonstiff.ClassicalRungeKuttaIntegratorTest:getDimension,0.309
org.apache.commons.math.util.OpenIntToFieldHashMap:shouldGrowTable,0
org.apache.commons.math.stat.ListUnivariateImpl:size,0
org.apache.commons.math.ode.nonstiff.RungeKuttaIntegrator:getSwitchingFunctions,0
org.apache.commons.math3.analysis.solvers.PegasusSolverTest:getQuinticEvalCounts,0.309
org.apache.commons.math.optimization.general.BaseAbstractScalarOptimizer:incrementIterationsCounter,0
