TestName,TestOutcomeName,TestOutcome
org.apache.commons.math3.linear.BlockFieldMatrixTest:testGetRowVector,pass,1
org.apache.commons.math3.random.Well44497bTest:testNextUniformUniformNegaiveBounds,pass,1
org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiatorTest:testSerialization,pass,1
org.apache.commons.math3.linear.SparseFieldMatrixTest:testTranspose,pass,1
org.apache.commons.math3.optimization.general.MinpackTest:testMinpackChebyquad,pass,1
org.apache.commons.math3.distribution.ZipfDistributionTest:testInverseCumulativeProbabilities,pass,1
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest:testTablet,failure,0
org.apache.commons.math3.stat.ranking.NaturalRankingTest:testNaNsFailed,pass,1
org.apache.commons.math3.fraction.FractionTest:testAbs,pass,1
org.apache.commons.math3.stat.descriptive.summary.SumTest:testIncrementation,pass,1
org.apache.commons.math3.geometry.euclidean.threed.FrenchVector3DFormatTest:testSimpleWithDecimalsTrunc,pass,1
org.apache.commons.math3.random.EmpiricalDistributionTest:testLoadNullURL,pass,1
org.apache.commons.math3.linear.RealVectorTest:testCosineDimensionMismatch,pass,1
org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest:testIncreasingTolerance,pass,1
org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest:testNoDependency,pass,1
org.apache.commons.math3.linear.BlockRealMatrixTest:testGetSetRowVectorLarge,pass,1
org.apache.commons.math3.analysis.solvers.LaguerreSolverTest:testParameters,pass,1
org.apache.commons.math3.random.AbstractRandomGeneratorTest:testNextBeta,pass,1
org.apache.commons.math3.stat.descriptive.ListUnivariateImplTest:testSkewAndKurtosis,pass,1
org.apache.commons.math3.random.Well1024aTest:testNextSecureLongPositiveRange,pass,1
org.apache.commons.math3.linear.ArrayRealVectorTest:testProjectionDimensionMismatch,pass,1
org.apache.commons.math3.stat.inference.TestUtilsTest:testOneSampleT,pass,1
org.apache.commons.math3.stat.descriptive.rank.MaxTest:testWeightedConsistency,pass,1
org.apache.commons.math3.linear.FieldMatrixImplTest:testOperate,pass,1
org.apache.commons.math3.random.MersenneTwisterTest:testNextSecureLongNegativeToPositiveRange,pass,1
org.apache.commons.math3.linear.BlockRealMatrixTest:testSetRowVector,pass,1
org.apache.commons.math3.random.Well512aTest:testNextSecureHex,pass,1
org.apache.commons.math3.geometry.euclidean.threed.RotationTest:testQuaternion,pass,1
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest:testRosenbrock,failure,0
org.apache.commons.math3.ode.nonstiff.ThreeEighthesStepInterpolatorTest:serialization,pass,1
org.apache.commons.math3.random.EmpiricalDistributionTest:testGridTooFine,pass,1
org.apache.commons.math3.optimization.linear.SimplexSolverTest:testMath434NegativeVariable,pass,1
org.apache.commons.math3.stat.descriptive.moment.GeometricMeanTest:testEvaluateArraySegmentWeighted,pass,1
org.apache.commons.math3.stat.clustering.KMeansPlusPlusClustererTest:dimension2,pass,1
org.apache.commons.math3.analysis.differentiation.DSCompilerTest:testIndices,pass,1
org.apache.commons.math3.optimization.direct.CMAESOptimizerTest:testBoundariesDimensionMismatch,pass,1
org.apache.commons.math3.stat.regression.SimpleRegressionTest:testRemoveMultiplePastEmpty,pass,1
org.apache.commons.math3.stat.descriptive.AbstractUnivariateStatisticTest:testTestPositive,pass,1
org.apache.commons.math3.stat.correlation.StorelessCovarianceTest:testSwissFertilityByRow,pass,1
org.apache.commons.math3.ode.sampling.StepNormalizerOutputTest:testIncBoth,pass,1
org.apache.commons.math3.random.AbstractRandomGeneratorTest:testFloatDirect,pass,1
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest:testXSampleDataNull,pass,1
org.apache.commons.math3.complex.ComplexTest:testAcos,pass,1
org.apache.commons.math3.analysis.function.LogitTest:testParametricValue,pass,1
org.apache.commons.math3.distribution.LevyDistributionTest:testConsistency,pass,1
org.apache.commons.math3.fraction.FractionFormatTest:testFormatImproper,pass,1
org.apache.commons.math3.distribution.ZipfDistributionTest:testPreconditions2,pass,1
org.apache.commons.math3.util.MathArraysTest:testL1DistanceInt,pass,1
org.apache.commons.math3.distribution.TDistributionTest:testCumulativeProbabilities,pass,1
org.apache.commons.math3.complex.FrenchComplexFormatTest:testPaseNegativeInfinity,pass,1
org.apache.commons.math3.distribution.LogNormalDistributionTest:testPreconditions,pass,1
org.apache.commons.math3.complex.ComplexTest:testPowInf,pass,1
org.apache.commons.math3.stat.FrequencyTest:testToString,pass,1
org.apache.commons.math3.linear.MatrixUtilsTest:testcreateFieldIdentityMatrix,pass,1
org.apache.commons.math3.linear.ArrayRealVectorTest:testCombineDimensionMismatchMixedTypes,pass,1
org.apache.commons.math3.linear.RealVectorTest:testMapSubtract,pass,1
org.apache.commons.math3.special.GammaTest:testLogGamma1pPrecondition1,pass,1
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest:testNewSampleDataYNull,pass,1
org.apache.commons.math3.distribution.BinomialDistributionTest:testCumulativeProbabilities,pass,1
org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest:testLinearCombination1DSDS,pass,1
org.apache.commons.math3.linear.RRQRSolverTest:testSolveDimensionErrors,pass,1
org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolatorTest:testUnsortedSamples,pass,1
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatorTest:testPreconditions,pass,1
org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolatorTest:testRandomPolynomialsFirstDerivative,pass,1
org.apache.commons.math3.complex.ComplexTest:testNthRoot_cornercase_thirdRoot_imaginaryPartEmpty,pass,1
org.apache.commons.math3.linear.CholeskyDecompositionTest:testDimensions,pass,1
org.apache.commons.math3.complex.ComplexFormatTest:testPaseNegativeInfinity,pass,1
org.apache.commons.math3.random.RandomDataGeneratorTest:testNextLongNegativeRange,pass,1
org.apache.commons.math3.transform.FastCosineTransformerTest:testAdHocData[0],pass,1
org.apache.commons.math3.complex.RootsOfUnityTest:testComputeRoots,pass,1
org.apache.commons.math3.stat.descriptive.moment.FourthMomentTest:testEvaluateArraySegment,pass,1
org.apache.commons.math3.random.Well44497bTest:testNextWeibull,pass,1
org.apache.commons.math3.optimization.fitting.GaussianFitterTest:testFit07,pass,1
org.apache.commons.math3.optimization.fitting.GaussianFitterTest:testFit06,pass,1
org.apache.commons.math3.optimization.fitting.GaussianFitterTest:testFit05,pass,1
org.apache.commons.math3.optimization.fitting.GaussianFitterTest:testFit04,pass,1
org.apache.commons.math3.optimization.fitting.GaussianFitterTest:testFit03,pass,1
org.apache.commons.math3.optimization.fitting.GaussianFitterTest:testFit02,pass,1
org.apache.commons.math3.optimization.fitting.GaussianFitterTest:testFit01,pass,1
org.apache.commons.math3.random.Well44497aTest:testNextExponential,pass,1
org.apache.commons.math3.transform.FastFourierTransformerTest:testTransformComplex,pass,1
org.apache.commons.math3.random.Well44497bTest:testNextSecureLongPositiveRange,pass,1
org.apache.commons.math3.optimization.linear.SimplexSolverTest:testMath434PivotRowSelection2,pass,1
org.apache.commons.math3.complex.ComplexTest:testSqrtRealZero,pass,1
org.apache.commons.math3.stat.correlation.PearsonsCorrelationTest:testConsistency,pass,1
org.apache.commons.math3.analysis.interpolation.HermiteInterpolatorTest:testSquareRoot,pass,1
org.apache.commons.math3.linear.BlockRealMatrixTest:testToString,pass,1
org.apache.commons.math3.linear.SparseRealVectorTest:testDotProductDimensionMismatchSameType,pass,1
org.apache.commons.math3.distribution.ZipfDistributionTest:testDensities,pass,1
org.apache.commons.math3.random.MersenneTwisterTest:testNextIntWideRange,pass,1
org.apache.commons.math3.distribution.HypergeometricDistributionTest:testIllegalArguments,pass,1
org.apache.commons.math3.optimization.direct.CMAESOptimizerTest:testInputSigmaNegative,pass,1
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest:testNewSampleDataXNull,pass,1
org.apache.commons.math3.random.ISAACTest:testNextPoissonConsistency,pass,1
